"","X","wedge","Mb","iter","aMRS","amMOS","amMOS_sz","apMOS","apMOS_sz","hmean_m","hmean_m_sz","hmean_p","hmean_p_sz","lnorm_m","lnorm_m_sz","lnorm_p","lnorm_p_sz","gamma_m","gamma_m_sz","gamma_p","gamma_p_sz","weibull_m","weibull_m_sz","weibull_p","weibull_p_sz","n_zeros","n_singles","singles_v_mean","zeros_v_mean","n_points","n_detected","percent_det","percent_singles","ratio_zeros"
"1",1,1,1,1,0.196016974652999,0.336618743645252,0.397533262424075,0.188784101456392,0.252695896733729,0.190826118406394,0.182364078932289,0.101517028654092,0.115064367347858,0.186607395577097,0.178984932563207,0.0998294466992006,0.111062143792615,0.152382967607678,0.111367590180665,0.0772978126749127,0.0605007623379473,0.144919256602448,0.127570118866941,0.0750117889834806,0.0743579974949179,92.3621164765044,18.4669998911988,0.718702713334566,0.362067431157095,980,565,57.6530612244898,3.26849555596439,0.163472772524787
"2",2,1,1,2,0.196106627500076,0.339074945120119,0.359659816986611,0.191829016286036,0.235903204395132,0.193758604815704,0.188425330099706,0.102409642802456,0.115181526470867,0.194215513982213,0.188150428828175,0.103575609167036,0.115430382235035,0.164676531888871,0.148460556866499,0.0864689659069101,0.0844681132725426,0.154385260459723,0.145872174869128,0.0844167850705273,0.0871731208445771,96.505099049768,18.5138915224525,0.69241735326992,0.304554666731731,982,631,64.2566191446029,2.93405570878803,0.152939935102643
"3",3,1,1,3,0.194868349436039,0.34250245300644,0.390081321116848,0.186960107714443,0.236529676079364,0.194555966233223,0.177563519969418,0.0937991497677048,0.103970897559203,0.190325742326106,0.180822652767258,0.0921238436776146,0.101283823343683,0.157943396802721,0.124931013215992,0.0653148269557036,0.0541184514242914,0.151568708705539,0.136110328213218,0.0670119429570374,0.0689326391223898,76.1278184968032,15.2684813228672,0.776115252709213,0.353827081055515,1017,645,63.4218289085546,2.36720640664608,0.118027625576439
"4",4,1,1,4,0.196399468345513,0.375304328292704,0.438892521210676,0.183959843135537,0.25145851230751,0.215374106043324,0.215648320727112,0.0887644495689983,0.1031783260767,0.214253928253548,0.215027222403464,0.0907204071833827,0.103787530623281,0.183669157915052,0.1516413490735,0.0686418279789519,0.0516110644582339,0.174922071531723,0.156102156647535,0.0703212811990797,0.0706958362277387,102.656139096791,16.2567183964451,1.01942712939213,0.374285083043717,1003,670,66.7996011964108,2.42637588006643,0.153218118054912
"5",5,1,1,5,0.195237789837324,0.354527201096858,0.381932964152141,0.178425944094724,0.2325987976387,0.199973067323793,0.207750571181502,0.0891350348314713,0.104220401540037,0.19416675401943,0.203833229199122,0.0913991239533766,0.105799628512393,0.154203882934932,0.161264112814906,0.072414242094752,0.0694648283927255,0.146344454071799,0.156289381051253,0.072234331755147,0.0776106379851762,94.2339761517083,20.9125553505081,0.72074720796051,0.321796729863636,989,618,62.4873609706775,3.3839086327683,0.15248216205778
"6",6,1,5,1,0.269926061750356,0.393399496806178,0.457055410786348,0.208849948087543,0.291564572094055,0.21058178314208,0.233852847786954,0.10576556764494,0.127658238692337,0.207871573672791,0.233393661361423,0.105925738307842,0.126673843934909,0.168043347165336,0.184642744276822,0.0817167599278087,0.0763222333616364,0.166372608435186,0.186195712654776,0.0820869213964925,0.0914900579872486,127.260807563562,32.0595075469324,0.775681724055113,0.423093897749738,1017,677,66.5683382497542,4.73552548699149,0.187977559178083
"7",7,1,5,2,0.266890319096535,0.410815571257978,0.478226596393641,0.235999635320584,0.322079095083232,0.22329588089931,0.245560672922672,0.12252591332444,0.147002752354771,0.22214286275668,0.246014206915237,0.126658297184262,0.149874280428901,0.177226418631138,0.191443426490336,0.104841572287494,0.101855341681198,0.169009518158369,0.190071400426037,0.101143855474833,0.110516109837299,137.864684834975,29.6970753834423,0.743092696858087,0.461889543181824,975,659,67.5897435897436,4.50638473193358,0.20920286014412
"8",8,1,5,3,0.269424514158269,0.406752096419427,0.499737349576178,0.219236213989902,0.315043941384048,0.214971738430858,0.238681714909344,0.112236083046539,0.13486507183226,0.210991432282777,0.236397702919398,0.109584852735791,0.130044848878696,0.166856070726871,0.163600449212002,0.079234670278381,0.0623356061588368,0.166924186487726,0.175029634532397,0.0803759210217421,0.0869932834098966,144.963364236676,44.7384748316335,1.02080720187973,0.396948357794197,1117,741,66.3384064458371,6.03758094893839,0.195632070494839
"9",9,1,5,4,0.267662300838216,0.401797556790668,0.539302344764645,0.215908136483677,0.318698595218056,0.214632148001299,0.270549367935406,0.10534464906273,0.12767470213438,0.209472673090876,0.267602479574459,0.105520579343095,0.125944440762296,0.1586482805791,0.198106656756162,0.0769929117698685,0.0562667359558238,0.155305075444709,0.202427465121169,0.0795558859294088,0.0855164915719251,137.453715951639,33.4737507899311,1.06180011225932,0.497430529064943,1291,830,64.291247095275,4.03298202288327,0.165606886688722
"10",10,1,5,5,0.268302596068205,0.419762641302319,0.56753003978491,0.234852352231199,0.356575255346072,0.26269963413091,0.298159631480495,0.128487863267799,0.157363441613049,0.26022819921481,0.288538049393848,0.127098549186749,0.152104753023554,0.232230402704207,0.209919559133124,0.103167257043969,0.078318990335233,0.213074300738412,0.209792911076093,0.0994622247905285,0.101809340591756,127.908343953634,37.7085247040183,1.20199847515503,0.469697871125949,1101,681,61.8528610354223,5.53722829721267,0.187824293617671
"11",11,1,10,1,0.310605419849583,0.466576507662261,0.656060299084126,0.259932786858039,0.419277118008115,0.273842619321003,0.315769176614398,0.136623853290705,0.171294071412838,0.275331083838947,0.312887503687635,0.13474997652788,0.165056029087055,0.244891482887646,0.218929304982741,0.10400477216006,0.0672364137723772,0.233099440695797,0.232206658384577,0.102505883085433,0.108493987929426,124.76306980897,32.4346934123305,1.16389388805537,0.619350446412533,888,574,64.6396396396396,5.65064345162552,0.217357264475558
"12",12,1,10,2,0.30870984322291,0.431504497243774,0.599872403422427,0.243912324455921,0.382348689717509,0.231823410290954,0.258259266493233,0.127540046392979,0.154774411765147,0.224261106672595,0.274465432254055,0.124349463683091,0.150486007928222,0.170348878526788,0.188782436169499,0.0895915523270182,0.0613986759144839,0.168019739396052,0.20843839082485,0.089016281541582,0.0988397232485173,135.700323104846,43.8537761219518,1.09368574447997,0.525450372069176,969,625,64.499484004128,7.01660417951229,0.217120516967754
"13",13,1,10,3,0.306797712966219,0.47899496138497,0.613257304649968,0.266093931371619,0.402028119382953,0.26302146101188,0.306066453349639,0.139209424384557,0.173322558521898,0.261319159581321,0.299935998873044,0.137671014972,0.16836615177946,0.211628003690874,0.212561589265687,0.103820742317367,0.0835172507978733,0.201980686997414,0.220101439222384,0.101738023787059,0.112704795954231,156.266434249907,48.9537558288806,1.15168584636008,0.520590294683641,1123,716,63.7577916295637,6.83711673587718,0.218249209846239
"14",14,1,10,4,0.310065345843633,0.406721510025758,0.595686518172419,0.254798009402422,0.389889853427409,0.237599481194805,0.307104668075738,0.119569223235906,0.152071793722081,0.234132399409423,0.302861294067727,0.124263847581634,0.155795837982507,0.196230336722423,0.225607417405138,0.0924216818674103,0.0746258880460014,0.181802672842522,0.225164735381634,0.0951542792763236,0.107747738767998,141.667629549521,46.4608748836111,1.13693260128256,0.531983022666232,1039,675,64.9663137632339,6.88309257534979,0.209877969702994
"15",15,1,10,5,0.308509292406973,0.441313071309717,0.572653477224907,0.239740761081393,0.366060988646199,0.236085968969654,0.297727170474425,0.134685532657973,0.167551990756269,0.228484981622574,0.296825297438172,0.131561558997497,0.161728633314655,0.173766247055369,0.236983493197409,0.104487099486958,0.0952348362170941,0.172098377851605,0.236524938657593,0.098672481920231,0.113146290709714,145.786723359061,41.3515779978849,0.932207916548031,0.537708935690077,1031,673,65.2764306498545,6.14436522999776,0.216622174381963
"16",16,1,15,1,0.331692993458897,0.484068753345131,0.647213757943853,0.292774702849267,0.451097711881329,0.296432336701579,0.336840162589958,0.16838355456187,0.209791016071664,0.294600668326638,0.326856277955019,0.169395047671175,0.205651388168612,0.259632011230382,0.228224017337067,0.147576143578595,0.120965548891033,0.23799343180933,0.228769684375551,0.139417831025598,0.13896085743763,137.813006103638,34.4161519194449,1.36708336163391,0.586411603439056,900,556,61.7777777777778,6.18995538119513,0.247865118891435
"17",17,1,15,2,0.332386176664327,0.409765514314551,0.578237237431444,0.250487903651424,0.38559460112844,0.242690884756865,0.309671323641637,0.133535387766451,0.169672399603196,0.24296595699624,0.304137594635144,0.134058163581693,0.167826958567727,0.213292072322407,0.232733631991398,0.109069358305647,0.0958538941074832,0.19922945253278,0.22583787474728,0.105794121869996,0.116736887637135,154.704483444454,42.8277531481955,1.04068606139623,0.537132937899127,1153,714,61.9254119687771,5.99828475464923,0.216672946000636
"18",18,1,15,3,0.333850125766834,0.476451528907793,0.605037757945895,0.292647645753489,0.438689782406707,0.254401224953133,0.318126544737687,0.155225685527708,0.201376115890656,0.253434320550108,0.318059620961827,0.152985024492296,0.198488943758963,0.205944685099797,0.254304424724082,0.120048388307148,0.128480935094036,0.202192388482528,0.24984622447804,0.118294586430788,0.145179802287084,172.702992980694,65.7249866076716,1.00572577840821,0.514313110741261,1137,649,57.080035180299,10.1271165805349,0.266106306595831
"19",19,1,15,4,0.334517205401872,0.531204257541967,0.643506759633529,0.273410941087611,0.404133541453273,0.275160742287187,0.319648112088165,0.129193091545295,0.160485946664593,0.271027925087876,0.318645961669643,0.131335500300121,0.161436294501401,0.205075453764304,0.236268194351967,0.0960977011918385,0.0785089783988989,0.204865948948044,0.2415939576197,0.100842951954991,0.112554016098067,151.633878381895,38.8734829730606,1.28803426417512,0.546233619145338,1182,757,64.0439932318105,5.13520250634882,0.200308954269346
"20",20,1,15,5,0.337618537666277,0.486935122079927,0.643316849841624,0.287638353889341,0.427132025482683,0.274525925518107,0.3143707179834,0.148316576381741,0.181851888836261,0.270335967942044,0.308299519438742,0.147800216790706,0.178036877775411,0.22254315828499,0.211310692514988,0.114609502280345,0.0895097585315613,0.211526750360269,0.223465440768618,0.11396443606742,0.120643516171437,156.925410540831,56.4160124353996,1.25394214688918,0.538221878514307,1242,819,65.9420289855072,6.8884020067643,0.191606117876473
"21",21,1,20,1,0.354454988628527,0.494562537893475,0.679610459046987,0.283954518572338,0.449397059130543,0.255879176959279,0.345875610605212,0.139882986322519,0.182188209865969,0.259220018511703,0.348027756274912,0.141205796772926,0.182542576749035,0.211373059017222,0.27177373644931,0.108371838249893,0.0950923539154679,0.209753850277454,0.271381095635059,0.110846674191545,0.129419860271992,135.300306572795,62.2664044628334,1.05713036816931,0.612693113551,1037,685,66.0559305689489,9.08998605296838,0.197518695726708
"22",22,1,20,2,0.354691639745432,0.513826731432723,0.688758837659057,0.284329608674276,0.447194627730596,0.267828284566824,0.338376437366334,0.141447671267706,0.180310075158864,0.266070091902115,0.332293527995896,0.139970413410376,0.175881092182994,0.211429787706589,0.233845393425696,0.103857230527341,0.0759873542340408,0.211122482160765,0.245430810097747,0.107171532651864,0.11838111728899,154.068721931691,54.1971896308378,1.19146078828966,0.626565531424183,1237,740,59.8221503637833,7.32394454470781,0.208200975583366
"23",23,1,20,3,0.354380304208,0.514114607562213,0.733609144895705,0.289288274270018,0.483296034391471,0.29146223348666,0.358336248937197,0.149917079211329,0.19441394530949,0.288435627544551,0.354736511004691,0.149999172348015,0.190094425000542,0.243146480119159,0.266139773493596,0.118845232553511,0.0875066239262935,0.23218057064908,0.280612530102133,0.118133551038095,0.131229812304513,150.640685971318,48.9815015185196,1.3803315222136,0.646310932889222,959,627,65.3806047966632,7.81204170949276,0.240256277466217
"24",24,1,20,4,0.356037327718329,0.441616697465866,0.640230319835296,0.282831000184899,0.447341445350473,0.276249452542413,0.340298283767419,0.132809372283596,0.176560225592017,0.275199312022353,0.339593455319435,0.13367748391973,0.177707279087206,0.249415652647255,0.269902344240469,0.0944933382267422,0.0879770085301411,0.232192799087398,0.262291156708533,0.100915202168252,0.125669031489966,137.533944120442,58.6421906679105,1.11915227716468,0.553828936432954,904,586,64.8230088495575,10.007199772681,0.234699563345464
"25",25,1,20,5,0.35167296154521,0.48810360835453,0.712783341675828,0.324776026316304,0.504544917678327,0.287122830398244,0.365978163639734,0.148486552330124,0.196501025566955,0.284843993759751,0.363416232147032,0.154724685682094,0.203320725596289,0.23720902128837,0.270348303543041,0.115363520931543,0.105343848380193,0.214764638719275,0.268327947849211,0.121665250557442,0.144939297720792,146.829384325076,64.0647858868496,1.30407309572296,0.603617280014873,960,602,62.7083333333333,10.6419910111046,0.243902631769229
"26",26,1,25,1,0.369092299141046,0.483476516378559,0.674540833222892,0.295014826212139,0.457532734850793,0.311550235443237,0.361956999694518,0.1727909732101,0.21631052469597,0.311982548105068,0.360798044661298,0.171285911759725,0.211057216058856,0.288605237307946,0.286856826616607,0.14584321355935,0.132592378389077,0.268575869689563,0.2761848702041,0.134762896534879,0.147760340953544,159.289584820943,51.8428270997911,1.2004571395171,0.594408658738507,1077,676,62.7669452181987,7.66905726328271,0.235635480504354
