"","species","speed","category","size"
"141","Hedgehog",0.00124923268579572,"SS","small"
"142","Hedgehog",0.30976541831713,"SS","small"
"143","Hedgehog",0.0515861344114581,"SS","small"
"144","Hedgehog",0.235974837981485,"SS","small"
"145","Hedgehog",0.417838566105201,"SS","small"
"146","Hedgehog",0.490203183658603,"SS","small"
"147","Fox",0.386813308735877,"LF","large"
"148","Hedgehog",0.234713366469427,"SS","small"
"149","Fox",0.0231279319416507,"LF","large"
"150","Hedgehog",0.0757135722466685,"SS","small"
"151","Hedgehog",0.12247793505468,"SS","small"
"152","Fox",0.667126419710936,"LF","large"
"153","Fox",0.324444057762488,"LF","large"
"154","Fox",0.819293892054258,"LF","large"
"155","Hedgehog",0.208122930077733,"SS","small"
"156","Hedgehog",0.599907238780159,"SS","small"
"157","Hedgehog",0.655874758739266,"SS","small"
"158","Hedgehog",0.0303778324377097,"SS","small"
"159","Hedgehog",1.36521963174862,"SS","small"
"160","Hedgehog",1.27360337694479,"SS","small"
"161","Fox",1.6092929214309,"LF","large"
"162","Hedgehog",0.270214782006823,"SS","small"
"163","Hedgehog",1.57944120146567,"SS","small"
"164","Fox",3.36752753444947,"LF","large"
"165","Fox",0.328500177135823,"LF","large"
"166","Fox",1.64422538386586,"LF","large"
"167","Fox",0.725739979992636,"LF","large"
"168","Fox",0.516641124093694,"LF","large"
"169","Fox",1.59568536505877,"LF","large"
"170","Fox",0.830068976178889,"LF","large"
"171","Fox",0.551499036081571,"LF","large"
"172","Fox",2.01412155804591,"LF","large"
"173","Fox",1.66306117398962,"LF","large"
"174","Fox",1.27199267505115,"LF","large"
"175","Fox",0.767042937601664,"LF","large"
"176","Fox",0.163954426541223,"LF","large"
"177","Fox",0.458817933671479,"LF","large"
"178","Fox",0.325226518001471,"LF","large"
"179","Fox",0.94346707285507,"LF","large"
"180","Fox",0.590347146060366,"LF","large"
"181","Fox",0.00476256381869763,"LF","large"
"182","Fox",0.233241148734674,"LF","large"
"183","Fox",2.49920251716064,"LF","large"
"184","Fox",0.0638062238341024,"LF","large"
"185","Fox",1.70877056490535,"LF","large"
"186","Fox",0.00334248125638115,"LF","large"
"187","Fox",1.71312835356245,"LF","large"
"188","Fox",1.13846664827943,"LF","large"
"189","Fox",0.797468381322762,"LF","large"
"190","Fox",0.206112335938261,"LF","large"
"191","Fox",0.668696975022562,"LF","large"
"192","Fox",0.685661371180049,"LF","large"
"193","Fox",0.763607651859987,"LF","large"
"194","Fox",0.327510808180622,"LF","large"
"195","Fox",0.0483983475557379,"LF","large"
"196","Fox",1.0918803025692,"LF","large"
"197","Fox",0.469769216669936,"LF","large"
"198","Hedgehog",0.0130269359210894,"SS","small"
"199","Hedgehog",0.109502485829329,"SS","small"
"200","Fox",0.338764952231958,"LF","large"
"201","Fox",0.661026650493176,"LF","large"
"202","Hedgehog",0.197426940450087,"SS","small"
"203","Hedgehog",0.167452975180171,"SS","small"
"204","Fox",0.621767170719691,"LF","large"
"205","Hedgehog",0.0540761478570275,"SS","small"
"206","Fox",0.262345074193649,"LF","large"
"207","Hedgehog",0.00739879932672506,"SS","small"
"208","Hedgehog",0.164466781695918,"SS","small"
"209","Fox",0.952657464390419,"LF","large"
"210","Fox",0.933028128677506,"LF","large"
"211","Hedgehog",0.0952568695355254,"SS","small"
"212","Fox",0.17317074871638,"LF","large"
"213","Hedgehog",0.132059291945467,"SS","small"
"214","Hedgehog",0.0399034141119605,"SS","small"
"215","Hedgehog",0.0922790047044882,"SS","small"
"216","Fox",0.193438490088296,"LF","large"
"217","Fox",0.166937852853186,"LF","large"
"218","Hedgehog",0.209408970994381,"SS","small"
"219","Hedgehog",0.116540198387729,"SS","small"
"220","Hedgehog",0.0923535313719357,"SS","small"
"221","Hedgehog",0.113401553154002,"SS","small"
"222","Hedgehog",0.19021343755628,"SS","small"
"223","Hedgehog",0.289051612552526,"SS","small"
"224","Fox",0.375008953566136,"LF","large"
"225","Hedgehog",0.0904386460242194,"SS","small"
"226","Fox",0.125532873510234,"LF","large"
"227","Fox",1.32570860334442,"LF","large"
"228","Fox",0.0789893232757852,"LF","large"
"229","Fox",0.545835322865311,"LF","large"
"230","Fox",0.936998047309815,"LF","large"
"231","Fox",0.0926738024895053,"LF","large"
"232","Fox",1.75927210152351,"LF","large"
"233","Fox",2.2016334154444,"LF","large"
"234","Fox",0.816866232107027,"LF","large"
"235","Fox",1.4728604734963,"LF","large"
"236","Fox",0.118023785160453,"LF","large"
"237","Fox",0.65251941218045,"LF","large"
"238","Fox",1.34790298651433,"LF","large"
"239","Fox",0.945490939805142,"LF","large"
"240","Fox",0.0547828227740565,"LF","large"
"241","Fox",0.8500731679254,"LF","large"
"242","Fox",0.649525189647274,"LF","large"
"243","Fox",0.00916496278366441,"LF","large"
"244","Fox",0.692102874249045,"LF","large"
"245","Fox",0.0433560889566706,"LF","large"
"246","Fox",0.374901562014011,"LF","large"
"247","Fox",0.155025387849449,"LF","large"
"248","Fox",0.641830313434687,"LF","large"
"249","Fox",1.09867604937575,"LF","large"
"250","Fox",0.127992745384082,"LF","large"
"251","Fox",1.28855795600421,"LF","large"
"252","Fox",1.09007776322662,"LF","large"
"253","Fox",0.428817069271173,"LF","large"
"254","Fox",0.0690595680858656,"LF","large"
"255","Hedgehog",0.059455622157934,"SS","small"
"256","Hedgehog",0.113770869435068,"SS","small"
"257","Hedgehog",0.278821317503975,"SS","small"
"258","Hedgehog",0.069504888618792,"SS","small"
"259","Hedgehog",0.0522309281038538,"SS","small"
"260","Fox",0.66363428229155,"LF","large"
"261","Hedgehog",0.061854981622627,"SS","small"
"262","Hedgehog",0.20469073036909,"SS","small"
"263","Hedgehog",0.0186135256229369,"SS","small"
"264","Hedgehog",0.0785329082379773,"SS","small"
"265","Hedgehog",0.613964356283085,"SS","small"
"266","Fox",0.952753695742682,"LF","large"
"267","Fox",1.39983347121946,"LF","large"
"268","takin",0.16962147177385,"LS","large"
"269","himalayan black bear",0.253157668976831,"LS","large"
"270","himalayan black bear",0.228481703760953,"LS","large"
"271","himalayan black bear",0.0432478807000487,"LS","large"
"272","takin",1.67233193488008e-06,"LS","large"
"273","takin",2.08485605533954e-06,"LS","large"
"274","takin",0.120060704933359,"LS","large"
"275","himalayan black bear",0.132072381562121,"LS","large"
"276","himalayan black bear",0.0720262113889732,"LS","large"
"277","himalayan black bear",0.064416744919161,"LS","large"
"278","himalayan black bear",1.85324155070364e-06,"LS","large"
"279","takin",1.04895090907289e-05,"LS","large"
"280","himalayan black bear",1.29711557344326e-05,"LS","large"
"281","himalayan black bear",1.07935476323005e-05,"LS","large"
