markerid,image,sequence,x,y,species,location,date,filename,camid,siteid,radius,angle,pixdiff,dist,secs,speed,n
3063,16320,2129,600,711,Hedgehog,Loc_39,2016-10-19 22:44:20,C:/Users/nash.l/Documents/Processed photos/point 39 phase 2/Loc_39-20161019-22-44-20-IMG_1165.jpg,RH2,Loc_39_RH2,4.60622971203587,-0.163011442581846,881.462090942188,1.9676242762178,3,0.655874758739266,6
3072,16350,2133,530,799,Hedgehog,Loc_39,2016-10-20 23:13:27,C:/Users/nash.l/Documents/Processed photos/point 39 phase 2/Loc_39-20161020-23-13-27-IMG_0171.jpg,RH2,Loc_39_RH2,6.59831950284896,-0.18992370904583,45.4868329805051,0.182266994626258,6,0.0303778324377097,10
3089,16370,2141,928,859,Hedgehog,Loc_39,2016-10-22 21:42:29,C:/Users/nash.l/Documents/Processed photos/point 39 phase 2/Loc_39-20161022-21-42-29-IMG_0771.jpg,RH2,Loc_39_RH2,8.75594657331846,-0.0369082511506066,255.863244722645,1.36521963174862,1,1.36521963174862,2
3093,16390,2143,591,449,Hedgehog,Loc_39,2016-10-26 22:28:19,C:/Users/nash.l/Documents/Processed photos/point 39 phase 2/Loc_39-20161026-22-28-19-IMG_2047.jpg,RH2,Loc_39_RH2,2.27245812411299,-0.166471591127215,955.250536716689,2.54720675388958,2,1.27360337694479,3
3100,16410,2147,1642,488,Fox,Loc_39,2016-10-27 04:40:26,C:/Users/nash.l/Documents/Processed photos/point 39 phase 2/Loc_39-20161027-04-40-26-IMG_2067.jpg,RH2,Loc_39_RH2,2.31957254775384,0.23759686678203,972.23577804775,6.43717168572362,4,1.6092929214309,6
3107,16470,2149,1010,808,Hedgehog,Loc_39,2016-10-29 22:12:08,C:/Users/nash.l/Documents/Processed photos/point 39 phase 2/Loc_39-20161029-22-12-08-IMG_2967.jpg,RH2,Loc_39_RH2,6.66948140939494,-0.00538245329279679,371.164535465151,1.35107391003411,5,0.270214782006823,9
3158,21787,2188,1254,654,Hedgehog,Loc_40,2016-10-10 03:57:52,C:/Users/nash.l/Documents/Processed photos/point 40 phase 1 (cam2-rp3)/Loc_40-20161010-03-57-52-IMG_0382.jpg,RP3,Loc_40_RP3,8.98792687280138,0.0884260183816616,402.471014584947,3.15888240293133,2,1.57944120146567,4
3185,21886,2201,1817,657,Fox,Loc_41,2016-10-23 21:16:55,C:/Users/nash.l/Documents/Processed photos/point 41 phase 2/Loc_41-20161023-21-16-55-IMG_4624.jpg,RP3,Loc_41_RP3,5.5651859478473,0.30487753294199,228.844925659277,3.36752753444947,1,3.36752753444947,2
3333,22635,2338,1811,263,Fox,Loc_43,2016-10-28 00:01:24,C:/Users/nash.l/Documents/Processed photos/point 43 phase 2/Loc_43-20161028-00-01-24-EK000283.jpg,BH2,Loc_43_BH2,1.17140454113785,0.340257159188834,218.009174118889,0.657000354271645,2,0.328500177135823,3
3503,23141,2438,444,143,Fox,Loc_46,2016-10-17 20:17:19,C:/Users/nash.l/Documents/Processed photos/point 46 phase 2/Loc_46-20161017-20-17-19-EK000085.jpg,BH7,Loc_46_BH7,2.1235037924631,-0.250761311727476,488.07443411343,3.28845076773172,2,1.64422538386586,3
3514,23354,2447,730,609,Fox,Loc_46,2016-10-20 02:12:38,C:/Users/nash.l/Documents/Processed photos/point 46 phase 2/Loc_46-20161020-02-12-38-EK000307.jpg,BH7,Loc_46_BH7,5.26212560750333,-0.127110044220479,156.169779406901,0.725739979992636,1,0.725739979992636,3
3531,23525,2462,857,174,Fox,Loc_46,2016-10-25 20:45:33,C:/Users/nash.l/Documents/Processed photos/point 46 phase 2/Loc_46-20161025-20-45-33-EK000550.jpg,BH7,Loc_46_BH7,2.14652813269236,-0.0722019638939456,388.688728995004,0.516641124093694,1,0.516641124093694,3
3536,23546,2465,892,500,Fox,Loc_46,2016-10-25 21:15:05,C:/Users/nash.l/Documents/Processed photos/point 46 phase 2/Loc_46-20161025-21-15-05-EK000571.jpg,BH7,Loc_46_BH7,4.1442721480122,-0.05706981577246,539.029201948126,1.59568536505877,1,1.59568536505877,3
3542,23586,2469,361,313,Fox,Loc_46,2016-10-26 05:27:58,C:/Users/nash.l/Documents/Processed photos/point 46 phase 2/Loc_46-20161026-05-27-58-EK000611.jpg,BH7,Loc_46_BH7,3.01985528877565,-0.286646120129856,123.967737738494,0.830068976178889,1,0.830068976178889,2
3561,23792,2487,1211,436,Fox,Loc_46,2016-10-31 19:26:50,C:/Users/nash.l/Documents/Processed photos/point 46 phase 2/Loc_46-20161031-19-26-50-EK000883.jpg,BH7,Loc_46_BH7,3.50870492947834,0.0808489056776517,572.212490553562,1.10299807216314,2,0.551499036081571,3
3601,23861,2525,757,375,Fox,Loc_47,2016-10-04 21:49:33,C:/Users/nash.l/Documents/Processed photos/point 47 phase 1/Loc_47-20161004-21-49-33-EK000106.jpg,BH7,Loc_47_BH7,5.22342739697903,-0.115436672812476,861.87162523521,2.01412155804591,1,2.01412155804591,3
3605,23879,2527,466,136,Fox,Loc_47,2016-10-09 19:17:56,C:/Users/nash.l/Documents/Processed photos/point 47 phase 1/Loc_47-20161009-19-17-56-EK000232.jpg,BH7,Loc_47_BH7,4.05768212309532,-0.241249675765399,862.30291078463,1.66306117398962,1,1.66306117398962,3
3670,24092,2590,854,716,Fox,Loc_49,2016-10-05 04:05:16,C:/Users/nash.l/Documents/Processed photos/point 49 phase 1/Loc_49-20161005-04-05-16-EK000103.jpg,BH3,Loc_49_BH3,7.0329664073206,-0.0734990051615015,305.207002961242,2.54398535010231,2,1.27199267505115,3
3676,24101,2594,714,260,Fox,Loc_49,2016-10-06 01:34:19,C:/Users/nash.l/Documents/Processed photos/point 49 phase 1/Loc_49-20161006-01-34-19-EK000112.jpg,BH3,Loc_49_BH3,1.69416576339796,-0.134027597647444,374.885946976024,0.767042937601664,1,0.767042937601664,3
3685,24107,2601,1277,601,Fox,Loc_49,2016-10-06 01:34:29,C:/Users/nash.l/Documents/Processed photos/point 49 phase 1/Loc_49-20161006-01-34-29-EK000118.jpg,BH3,Loc_49_BH3,3.75017744093038,0.109383813563882,154.736441924506,0.327908853082445,2,0.163954426541223,3
3689,24116,2603,968,572,Fox,Loc_49,2016-10-06 01:34:57,C:/Users/nash.l/Documents/Processed photos/point 49 phase 1/Loc_49-20161006-01-34-57-EK000127.jpg,BH3,Loc_49_BH3,3.47803508670128,-0.024211436994377,325.987686926882,0.917635867342959,2,0.458817933671479,3
3693,24122,2605,1310,526,Fox,Loc_49,2016-10-06 02:07:42,C:/Users/nash.l/Documents/Processed photos/point 49 phase 1/Loc_49-20161006-02-07-42-EK000133.jpg,BH3,Loc_49_BH3,2.93859518333306,0.123651267506997,341.235988723347,0.650453036002943,2,0.325226518001471,3
3703,24182,2613,789,596,Fox,Loc_49,2016-10-10 04:29:04,C:/Users/nash.l/Documents/Processed photos/point 49 phase 1/Loc_49-20161010-04-29-04-EK000214.jpg,BH3,Loc_49_BH3,3.85376967946666,-0.101601565958546,1123.88677585341,1.88693414571014,2,0.94346707285507,3
3709,24209,2617,1855,471,Fox,Loc_49,2016-10-11 04:26:42,C:/Users/nash.l/Documents/Processed photos/point 49 phase 1/Loc_49-20161011-04-26-42-EK000241.jpg,BH3,Loc_49_BH3,2.47177903385372,0.359280431112987,785.984724257541,1.18069429212073,2,0.590347146060366,3
3773,24364,2679,-352,342,Fox,Loc_49,2016-10-16 20:31:04,C:/Users/nash.l/Documents/Processed photos/point 49 phase 1/Loc_49-20161016-20-31-04-EK000435.jpg,BH3,Loc_49_BH3,2.02907441829798,-0.594909594718977,43.0464865000618,0.038100510549581,8,0.00476256381869763,2
3777,24371,2682,707,636,Fox,Loc_49,2016-10-16 20:31:30,C:/Users/nash.l/Documents/Processed photos/point 49 phase 1/Loc_49-20161016-20-31-30-EK000442.jpg,BH3,Loc_49_BH3,4.59399892022627,-0.137054027271741,116.004310264748,0.233241148734674,1,0.233241148734674,3
