"","species","speed"
"242","agouti",0.1125
"243","agouti",0.225
"244","agouti",0.450000000000001
"245","agouti",0.3075
"246","agouti",0.641250000000001
"247","rat",0.413333333333333
"248","agouti",0.497142857142857
"249","agouti",0.17
"250","mouse",0.3975
"251","agouti",0.0975000000000001
"252","agouti",0.557142857142857
"253","agouti",0.313846153846155
"254","agouti",0.765000000000001
"255","agouti",0.362727272727273
"256","agouti",0.0428571428571429
"257","agouti",0.495
"258","agouti",0.145714285714285
"259","mouse",0.124285714285714
"260","agouti",0.565714285714286
"261","agouti",0.117272727272727
"262","agouti",0.0821052631578948
"263","agouti",0.217894736842105
"264","mouse",0.4275
"265","coati",0.387
"266","agouti",0.08
"267","agouti",0.130714285714285
"268","agouti",0.366
"269","coati",0.156428571428571
"270","agouti",0.147
"271","agouti",0.428571428571428
"272","agouti",0.375
"273","coati",0.557142857142857
"274","agouti",0.728571428571428
"275","squirrel",0.263571428571428
"276","agouti",0.0678947368421053
"277","mouse",0.134
"278","agouti",0.201818181818182
"279","agouti",0.15
"280","agouti",0.242307692307693
"281","rat",0.315
"282","mouse",0.15
"283","squirrel",0.514285714285714
"284","agouti",0.288
"285","agouti",0.0913043478260868
"286","agouti",0.2325
"287","agouti",0.342
"288","coati",0.6
"289","mouse",0.104
"290","squirrel",0.0915000000000001
"291","agouti",0.167727272727273
"292","agouti",0.169565217391304
"293","agouti",0.233684210526316
"294","agouti",0.366
"295","agouti",0.333
"296","agouti",0.18
"297","squirrel",0.0886363636363638
"298","agouti",0.258461538461539
"299","agouti",0.118695652173913
"300","agouti",0.372
"301","agouti",0.0999999999999999
"302","rat",1.269
"303","agouti",0.1125
"304","coati",0.168
"305","rat",0.269999999999999
"306","agouti",0.334285714285713
"307","agouti",0.1725
"308","agouti",0.465
"309","agouti",0.0572727272727274
"310","agouti",0.248571428571428
"311","agouti",0.262857142857143
"312","agouti",0.155
"313","agouti",0.0883333333333333
"314","rat",0.21
"315","rat",0.18
"316","rat",0.27
"317","agouti",0.257142857142857
"318","agouti",0.196875
"319","agouti",0.225
"320","agouti",0.315
"321","rat",0.48
"322","agouti",0.253125
"323","coati",0.3375
"324","agouti",0.482142857142857
"325","agouti",0.959999999999999
"326","agouti",0.546428571428571
"327","coati",0.578571428571428
"328","agouti",0.228375
"329","agouti",0.0841304347826086
"330","agouti",0.135
"331","agouti",0.0793421052631579
"332","agouti",0.294
"333","agouti",0.0778846153846156
"334","agouti",0.1825
"335","coati",0.2115
"336","agouti",0.234
"337","agouti",1.26
"338","mouse",0.2835
"339","rat",0.478125
"340","agouti",0.2775
"341","agouti",0.0771428571428572
"342","agouti",0.0428571428571429
"343","agouti",0.0432692307692309
"344","coati",0.478125
"345","agouti",0.3645
"346","agouti",0.725999999999999
"347","coati",0.578571428571428
"348","rat",0.21
"349","coati",0.0450000000000001
"350","mouse",0.1875
"351","agouti",0.0990000000000001
"352","agouti",0.321428571428571
"353","rat",0.0859090909090911
"354","agouti",0.086785714285714
"355","agouti",0.459642857142857
"356","agouti",0.50625
"357","squirrel",0.153
"358","agouti",0.225
"359","agouti",0.0569117647058823
"360","agouti",0.245
"361","agouti",0.189642857142857
"362","agouti",0.36
"363","mouse",0.0739285714285712
"364","squirrel",0.100384615384616
"365","agouti",0.234642857142857
"366","agouti",0.167142857142857
"367","agouti",0.0562500000000001
"368","agouti",0.0572727272727274
"369","coati",0.100657894736842
"370","agouti",0.637500000000001
"371","agouti",0.647999999999999
"372","agouti",0.173571428571428
"373","coati",0.148026315789474
"374","agouti",0.1995
"375","coati",0.61125
"376","coati",0.857142857142857
"377","agouti",0.261428571428571
"378","agouti",0.0958695652173911
"379","agouti",0.0885937499999999
"380","agouti",0.286875
"381","agouti",0.0806250000000002
"382","coati",0.0635294117647058
"383","agouti",0.218571428571429
"384","agouti",0.514285714285714
"385","agouti",0.585
"386","agouti",0.0725
"387","agouti",0.539999999999999
"388","coati",0.222857142857143
"389","agouti",0.2925
"390","rat",0.14625
"391","squirrel",0.0825
"392","agouti",0.3015
"393","agouti",0.3285
"394","coati",0.342857142857143
"395","rat",0.15923076923077
"396","agouti",0.57
"397","agouti",0.3675
"398","agouti",0.178676470588235
"399","agouti",1.0125
"400","agouti",0.73875
"401","rat",0.27
"402","rat",0.0918750000000002
"403","agouti",0.245454545454546
"404","rat",0.405
"405","rat",0.117
"406","agouti",0.141428571428571
"407","agouti",0.24
"408","squirrel",0.2475
"409","agouti",0.317142857142857
"410","agouti",0.279782608695652
"411","agouti",0.54
"412","rat",0.225
"413","agouti",0.138068181818182
"414","agouti",0.347142857142856
"415","mouse",0.18
"416","agouti",0.252
"417","agouti",0.311785714285714
"418","agouti",0.2505
"419","rat",0.045
"420","rat",0.16875
"421","rat",0.18
"422","rat",0.144
"423","agouti",0.27
"424","agouti",0.16875
"425","agouti",0.225
"426","agouti",0.324
"427","coati",0.257142857142857
"428","coati",0.353571428571428
"429","coati",0.308571428571428
"430","agouti",0.315
"431","agouti",0.3375
"432","agouti",0.437142857142857
"433","agouti",0.478125
"434","agouti",0.488571428571428
"435","coati",0.5175
"436","agouti",1.17
"437","agouti",0.694285714285714
"438","agouti",0.4725
"439","agouti",0.312
"440","agouti",0.27
"441","agouti",0.809999999999999
"442","agouti",0.0629999999999999
"443","agouti",0.405
"444","agouti",0.1875
"445","agouti",0.31875
"446","agouti",0.753750000000001
"447","rat",0.3075
"448","agouti",0.0388421052631579
"449","agouti",0.2025
"450","agouti",0.6975
"451","agouti",0.482142857142857
"452","agouti",0.0702000000000001
"453","agouti",0.234
"454","agouti",0.198
"455","agouti",0.187714285714286
"456","agouti",0.1692
"457","agouti",0.0755999999999998
"458","squirrel",0.225
"459","agouti",0.171
"460","agouti",0.0600000000000002
"461","squirrel",0.0687272727272728
"462","squirrel",0.0687272727272728
"463","mouse",0.2925
"464","squirrel",0.0634285714285715
"465","squirrel",0.244285714285714
"466","agouti",0.1089
"467","agouti",0.286875
"468","agouti",0.1476
"469","agouti",0.318461538461539
"470","coati",0.17723076923077
"471","rat",0.36
"472","agouti",0.102461538461539
"473","agouti",0.0702857142857144
"474","agouti",0.278181818181819
"475","agouti",0.0611999999999999
"476","agouti",0.9375
"477","coati",0.201
"478","agouti",0.152
"479","agouti",0.345
"480","mouse",0.347999999999999
"481","rat",0.27
"482","squirrel",0.3
"483","squirrel",0.0621000000000001
"484","agouti",0.218571428571428
"485","mouse",0.0474545454545455
"486","agouti",1.1625
"487","agouti",0.289285714285714
"488","agouti",0.363214285714286
"489","agouti",0.2556
"490","agouti",0.36
"491","agouti",0.497571428571427
"492","agouti",0.203142857142857
"493","agouti",0.3
"494","rat",0.365625
"495","agouti",0.0756000000000001
"496","agouti",0.0707142857142855
"497","agouti",0.216
"498","rat",0.216
"499","agouti",0.2025
"500","agouti",0.214285714285714
"501","agouti",0.214285714285714
"502","agouti",0.214285714285714
"503","rat",0.275
"504","agouti",0.235714285714286
