"species" "distance" "intervals" "avgduration"
"142" "agouti" 1.88 2 1.55555555555556
"143" "rat" 0.21 1 0.555555555555556
"144" "squirrel" 0.43 2 0.777777777777778
"145" "paca" 0.45 2 1.44444444444444
"146" "agouti" 0.37 2 2.22222222222222
"147" "agouti" 0.45 2 0.777777777777778
"148" "rat" 0.84 2 1.11111111111111
"149" "rat" 0.42 2 1.33333333333333
"150" "squirrel" 0.6 2 0.666666666666667
"151" "rat" 0.43 2 1.44444444444444
"152" "agouti" 0.44 2 0.666666666666667
"153" "coati" 0.54 2 2.44444444444444
"154" "agouti" 0.62 2 0.888888888888889
"155" "peccary" 0.81 2 0.666666666666667
"156" "paca" 0.5 2 1.44444444444444
"157" "mouse" 0.62 2 1.66666666666667
"158" "agouti" 0.84 2 2
"159" "agouti" 0.35 2 0.555555555555556
"160" "agouti" 0.72 2 1.22222222222222
"161" "brocket" 0.6 2 0.555555555555556
"162" "coati" 1.55 2 1.44444444444444
"163" "agouti" 0.36 2 0.555555555555556
"164" "paca" 0.67 2 1.66666666666667
"165" "agouti" 1.34 2 0.444444444444444
"166" "peccary" 1.5 2 2.33333333333333
"167" "agouti" 0.63 2 2.44444444444444
"168" "agouti" 0.47 2 0.555555555555556
"169" "coati" 0.88 2 2.22222222222222
"170" "agouti" 0.76 2 1.33333333333333
"171" "coati" 0.7 2 0.666666666666667
"172" "peccary" 1.5 2 2.22222222222222
"173" "rat" 0.58 2 1.55555555555556
"174" "agouti" 0.66 2 2.33333333333333
"175" "agouti" 0.36 1 0.666666666666667
"176" "squirrel" 0.41 2 0.666666666666667
"177" "agouti" 0.62 2 0.777777777777778
"178" "agouti" 0.89 2 2.33333333333333
"179" "agouti" 0.5 2 1.55555555555556
"180" "brocket" 1.21 2 1.66666666666667
"181" "agouti" 3.7 2 0.555555555555556
"182" "rat" 0.63 1 0.555555555555556
"183" "agouti" 1.2 2 2.44444444444444
"184" "agouti" 1.28 2 0.555555555555556
"185" "peccary" 1.3 2 0.666666666666667
"186" "agouti" 1.5 2 1.55555555555556
"187" "paca" 1.75 2 1.44444444444444
"188" "agouti" 0.25 2 0.777777777777778
"189" "mouse" 0.35 2 1.44444444444444
"190" "agouti" 0.45 2 2
"191" "ocelot" 0.559 2 1.22222222222222
"192" "peccary" 0.56 2 2.44444444444444
"193" "agouti" 0.29 2 0.444444444444444
"194" "agouti" 0.82 2 1.44444444444444
"195" "agouti" 1.7 2 2.55555555555556
"196" "agouti" 0.39 2 0.666666666666667
"197" "coati" 0.53 2 2.22222222222222
"198" "agouti" 0.57 2 0.777777777777778
"199" "armadillo" 0.63 2 1.55555555555556
"200" "agouti" 0.39 1 0.666666666666667
"201" "agouti" 0.3 2 0.777777777777778
"202" "paca" 0.37 2 1.22222222222222
"203" "agouti" 0.4 1 0.666666666666667
"204" "coati" 0.47 2 2.33333333333333
"205" "agouti" 0.48 2 1.88888888888889
"206" "paca" 0.5 2 1.55555555555556
"207" "coati" 0.5 1 0.777777777777778
"208" "agouti" 0.55 2 0.666666666666667
"209" "agouti" 0.55 2 2.44444444444444
"210" "paca" 0.55 1 0.555555555555556
"211" "paca" 0.55 2 1.33333333333333
"212" "agouti" 0.57 2 0.555555555555556
"213" "agouti" 0.58 2 1.22222222222222
"214" "agouti" 0.66 2 0.444444444444444
"215" "ocelot" 0.68 2 1.77777777777778
"216" "peccary" 0.8 2 1.66666666666667
"217" "armadillo" 0.85 2 1.66666666666667
"218" "ocelot" 1.1 2 1.44444444444444
"219" "agouti" 1.1 2 2.33333333333333
"220" "agouti" 1.15 2 1.66666666666667
"221" "agouti" 1.35 2 0.777777777777778
"222" "armadillo" 2.15 2 1.66666666666667
"223" "agouti" 0.47 2 1.33333333333333
"224" "coati" 0.58 2 1.44444444444444
"225" "agouti" 0.61 2 0.777777777777778
"226" "agouti" 0.66 2 1.33333333333333
"227" "paca" 0.3 2 1.66666666666667
"228" "agouti" 0.41 2 1.33333333333333
"229" "agouti" 0.45 2 0.666666666666667
"230" "paca" 0.78 2 1.33333333333333
"231" "peccary" 1.6 1 0.555555555555556
"232" "paca" 0.36 2 1.88888888888889
"233" "paca" 0.37 2 1.33333333333333
"234" "squirrel" 0.55 2 1.33333333333333
"235" "agouti" 0.56 2 1.88888888888889
"236" "agouti" 0.72 2 2.33333333333333
"237" "agouti" 0.78 2 1.44444444444444
"238" "coati" 0.97 2 0.777777777777778
"239" "agouti" 1.5 2 2.33333333333333
"240" "agouti" 0.45 2 2
"241" "agouti" 0.45 2 2.22222222222222
"242" "agouti" 0.46 1 0.777777777777778
"243" "coati" 0.48 2 1.44444444444444
"244" "agouti" 0.52 2 2.44444444444444
"245" "paca" 0.58 2 1.44444444444444
"246" "agouti" 0.71 2 2.22222222222222
"247" "agouti" 0.38 2 2.22222222222222
"248" "paca" 0.45 2 1.44444444444444
"249" "agouti" 0.48 2 0.666666666666667
"250" "agouti" 0.61 2 0.555555555555556
"251" "agouti" 0.81 2 2
"252" "agouti" 2.15 2 2
"253" "squirrel" 0.53 2 1.22222222222222
"254" "armadillo" 0.28 2 1.22222222222222
"255" "tamandua" 0.68 1 0.555555555555556
"256" "agouti" 0.97 2 2.66666666666667
"257" "agouti" 0.7 2 0.777777777777778
