"","obs_real_error","real_mean","n_singles","n_zeros"
"1",0.000300024923368339,0.0601187631388432,0.160606060606061,0.712121212121212
"2",0.000759861646700072,0.0699503868113484,0.707661290322581,7.86592741935484
"3",7.54332470940891e-06,0.08011243228322,0.312995245641838,2.70998415213946
"4",0.000670891599906823,0.0896475540979679,0.514285714285714,5.25714285714286
"5",-0.000115671264832558,0.100098972236404,0.341591233920915,2.60695569318723
"6",0.00169039351064628,0.110273965597034,0.661616161616162,5.74242424242424
"7",0.0126293342843064,0.118046456568184,0.75,18.5
"8",-0.000224242677777059,0.130272570742003,0.360573476702509,2.79784946236559
"9",1.60499700575202e-05,0.140158640180913,0.318257956448911,2.38693467336683
"10",0.000920446614833556,0.150127984830192,0.467600700525394,4.31873905429072
"11",-1.22737814641715e-05,0.0600916903660986,0.422601213797342,3.2221710071445
"12",-0.00011773582688989,0.0700283829943377,0.39917976760082,2.9014012303486
"13",8.48652871689977e-05,0.0801615946167264,0.391509433962264,3.07243935309973
"14",-0.000234239162271724,0.0901098786291437,0.574915657868625,5.19349077197857
"15",0.000167488037767784,0.100081470631097,0.440910875539851,3.59678052610915
"16",-0.000132920151489913,0.110128413961565,0.441574936494496,3.92082980524979
"17",-0.000142377732759299,0.120210692101771,0.384546937564882,3.01838944090168
"18",-2.50748459260435e-05,0.130298344787671,0.52172049156902,4.57016290368677
"19",0.000174342251385858,0.140064211175277,0.449722393584207,4.19463294262801
"20",0.000157955972961786,0.150096090379791,0.42316632231405,3.35046487603306
"21",-0.00020634967109243,0.100222918984739,0.288409703504043,5.75441749026655
"22",-1.43020223429496e-05,0.110042825991621,0.287427144046628,5.16536219816819
"23",-0.00016897881069276,0.120240976619711,0.218407960199005,4.07164179104478
"24",-0.000432633466345601,0.130132499780619,0.326079896070153,7.24813251055537
"25",8.69666473757731e-05,0.140194878621726,0.249430812041487,4.58664305590691
"26",3.33530717824086e-06,0.150340025633947,0.255006202374623,4.35353535353535
"27",-0.000235509222986162,0.160015981593427,0.305961754780652,6.58042744656918
"28",-0.000386088340028124,0.17048487610957,0.296057347670251,5.39964157706093
"29",-0.000401284711201347,0.180202515839781,0.286473988439306,5.98080924855491
"30",0.000613099156684566,0.190069423213467,0.284502698535081,5.76278591621691
"31",0.00268103277236202,0.100436246803804,0.868421052631579,9.01315789473684
"32",0.000331382111103399,0.110015096349635,0.451286764705882,3.44393382352941
"33",-0.000385823843411125,0.120371125716627,0.365829145728643,3.17688442211055
"34",-4.70659853483014e-05,0.130585421357372,0.271028037383178,1.5086782376502
"35",-0.00047387793399684,0.14027421905215,0.433656957928803,3.50161812297735
"36",-0.000822729269545458,0.150441021653568,0.355263157894737,2.70334928229665
"37",0.00117301822641655,0.160461924584828,0.2016,1.6832
"38",-0.000472466339657183,0.170455425124366,0.501633986928105,4.82516339869281
"39",0.000794518485009017,0.179694190308877,0.422077922077922,2.87012987012987
"40",0.000715803647131956,0.189510812847713,0.332919254658385,2.55776397515528
"41",0.000370597486151682,0.100159983983196,0.202469135802469,3.14285714285714
"42",1.22508318447984e-05,0.110186419214182,0.235009883593235,3.23852405007687
"43",-0.000256964858846695,0.120274886411017,0.234674329501916,3.78799489144317
"44",0.000909177087633248,0.129904602353007,0.257040679481448,6.818059901654
"45",-0.00024323596099213,0.140339789213569,0.315115706548498,7.68340718857706
"46",7.1320759444619e-06,0.150235806422714,0.232121922626026,4.19460726846424
"47",-0.000160420194950586,0.16025616374542,0.251420454545455,5.01811079545455
"48",0.000176433514506899,0.17001923750794,0.270731707317073,6.06515679442509
"49",-0.000145671554674412,0.180200005703063,0.24534527456988,4.65260428941786
"50",7.66233317811854e-05,0.190227792887822,0.252464788732394,4.73767605633803
"51",-2.41979682926444e-05,0.0600486509070498,0.221397797989469,4.12230732407851
"52",-0.000144185060011096,0.0700111147664834,0.35443864229765,8.06853785900783
"53",4.58125825179115e-05,0.0801014936075655,0.345187694044595,6.9808072255151
"54",-9.75481780732586e-05,0.0901459360130902,0.271258008153757,5.62565521258008
"55",-1.25040594601457e-05,0.100111485457107,0.23030303030303,5.14
"56",-0.000276557074365318,0.110102424122574,0.249093107617896,4.25973397823458
"57",0.000383267114538707,0.119956621939925,0.284495021337127,6.16050260787103
"58",-0.000142530690681764,0.130174523854839,0.236853832442068,4.15641711229947
"59",-0.00010747550717173,0.140255212848905,0.277282086479067,5.42393045069778
"60",0.000238378563664222,0.150135706327263,0.259259259259259,5.37216828478964
