"","wedge","Mb","iter","aMRS","amMOS","amMOS_sz","apMOS","apMOS_sz","hmean_m","hmean_m_sz","hmean_p","hmean_p_sz","lnorm_m","lnorm_m_sz","lnorm_p","lnorm_p_sz","gamma_m","gamma_m_sz","gamma_p","gamma_p_sz","weibull_m","weibull_m_sz","weibull_p","weibull_p_sz","n_zeros","n_singles","singles_v_mean","zeros_v_mean"
"1","whole",1,1,0.196016974652999,0.302980773232264,0.39435821667367,0.183452570292682,0.248935273613451,0.174218189576447,0.188888028962583,0.097020080446085,0.112260351384452,0.169853673412242,0.184306775757582,0.0962720960947706,0.109445591284388,0.134513145887806,0.118414849250343,0.0748161413254657,0.0606789063009702,0.124026124776839,0.129597868273249,0.0729326253651005,0.0740096784283941,122.387120661582,15.3749575924333,0.651158213062881,0.384756233123928
"2","whole",1,2,0.196106627500076,0.344550475604886,0.368429693513799,0.189875310841475,0.234574838893515,0.190135503925222,0.19166120343871,0.0945258205584971,0.107552854290433,0.18405536035843,0.191251109632969,0.095705242780196,0.108439188264211,0.136938429718679,0.147194171740018,0.0739410179008052,0.0734404433750922,0.130667430133375,0.144625520472736,0.0746297786875069,0.0803983995555899,133.298889063841,12.3824980457283,0.432534974747099,0.36983003197315
"3","whole",1,3,0.194868349436039,0.299681208956283,0.392482696541117,0.176153520201402,0.231823892708873,0.18544944807677,0.187307279515329,0.0932698255190795,0.105187403113124,0.179929015382866,0.184795893878394,0.0935674653707358,0.103732737172087,0.15084106790846,0.119225920555267,0.0745003810884531,0.0599164115176174,0.135031168073631,0.12925051729683,0.0720734712224923,0.0706353726265967,108.898501736637,18.6346412222728,0.652063020775492,0.384616856365807
"4","whole",1,4,0.196399468345513,0.362899452959595,0.412829896346012,0.187708492198071,0.244866574152341,0.194097102822373,0.210295225777531,0.0898849049175618,0.104175176026513,0.195269705551565,0.211373807762081,0.0903552110544007,0.10402781851151,0.154794817520427,0.160649208069228,0.064401738415553,0.0577333565621258,0.148128274481893,0.159159756314436,0.067437060742049,0.0729093327362205,126.712082593515,19.3990309156582,0.601920512791868,0.402153329620123
"5","whole",1,5,0.195237789837324,0.296198680570566,0.379577797505396,0.171007851535532,0.22470497046872,0.189655897449086,0.192643786230599,0.0872448368594747,0.0994964178422271,0.186189098137591,0.191337261596093,0.0872155665501518,0.0982419649937021,0.165633451209605,0.139706767405129,0.0673993826991585,0.0563908567106979,0.150567277172912,0.139799395939236,0.0674308637763276,0.0682984762455134,129.557645533165,13.4360482858975,0.617736401545545,0.378650138561708
"6","whole",1,6,0.197626620054062,0.392995439268637,0.427801971959538,0.209210153694119,0.271064775574865,0.212742202102137,0.206268521165438,0.107689530881136,0.123324559849434,0.205509859425595,0.203578012265143,0.106159089624994,0.120389160203618,0.152556975482701,0.139686516498647,0.0791154976619171,0.0707043963271844,0.148772481307527,0.148657581542936,0.079103374846985,0.0835635883818576,114.580326642916,13.0833021049803,0.665551288074709,0.404585900242592
"7","whole",1,7,0.194947310222051,0.374341896987624,0.388483102656093,0.205873338357357,0.25403856579931,0.200819100518369,0.190716597881609,0.102040767834131,0.115446543535057,0.195429855034211,0.192805894807788,0.101894328371291,0.115157236030694,0.145297616133678,0.141764466143077,0.0755275091426105,0.073960551660646,0.141662335335813,0.144125550114998,0.077256210665243,0.0834021314593382,122.960964512037,13.4121200656863,0.424555112114701,0.390435162276696
"8","whole",1,8,0.197414571106282,0.320588762726104,0.387322667542267,0.173067896768072,0.229699488838696,0.172087876898608,0.200235549430331,0.0831742656952792,0.0972607146528079,0.167054788936737,0.196468624108713,0.0856196259879878,0.0988559245508021,0.121900488665424,0.145378244638383,0.0637522196337109,0.0563514645467663,0.118628376970654,0.145521390043574,0.0649099901168686,0.0694043632648008,145.03517157803,16.0182612002863,0.48820050610378,0.400618543316404
"9","whole",5,1,0.269926061750356,0.443109407219155,0.526873993084705,0.235551055379227,0.338630067492185,0.235439740652052,0.249821689865641,0.120842102864382,0.145815858999011,0.229446668370707,0.247153864768593,0.120817818530979,0.143490088937197,0.171482313309991,0.167717760364523,0.0935629089317161,0.0768873552380229,0.168696957987976,0.181268335278072,0.0931024357345643,0.0988388215757875,180.548078718218,19.7991706414722,0.746895357568761,0.525137952231381
"10","whole",5,2,0.266890319096535,0.398615317748927,0.503565656435714,0.236612333171202,0.327905860818077,0.232109058989949,0.25907369996826,0.124407383307812,0.148720448855485,0.229967327715068,0.258426518604585,0.126092635757606,0.148769323394797,0.194610884224415,0.198533894423551,0.101735050722222,0.0940664569955837,0.180818628917916,0.197084028310465,0.0984269565098312,0.106300459500574,186.33322704014,23.7275084396482,0.613758046778827,0.523460766484674
"11","whole",5,3,0.269424514158269,0.469292831263786,0.545212233945317,0.247784477553995,0.345205519372164,0.249764246584821,0.263974735267599,0.119276182619368,0.143421925483711,0.243980956637443,0.260472831311699,0.117494733365093,0.140168230125084,0.181609948595104,0.175243835415171,0.0798955959938948,0.0649845844000954,0.177189273728165,0.185889697828939,0.0854216980197234,0.0940347937463672,187.725254885684,31.2340652117047,0.86814365224654,0.518086827792088
"12","whole",5,4,0.267662300838216,0.400336939811325,0.539928159478925,0.234169670707744,0.34224712720665,0.225962583605555,0.265838595349907,0.117376800877399,0.143266460161928,0.221340859349527,0.263418347403852,0.119364747340869,0.143554173377266,0.178166221198215,0.183259979700824,0.0939782113917581,0.0756011223460396,0.167920965989349,0.189660665716725,0.0942756530497454,0.0990468487057229,183.680938227227,33.6909934079828,0.862077126334308,0.540053097586044
"13","whole",5,5,0.268302596068205,0.446413098178478,0.54351127515214,0.232739414981041,0.335740896194759,0.239652531279825,0.270534855853927,0.117034574742918,0.142073509620287,0.233466821580941,0.267662546086295,0.115787597849264,0.139034677764075,0.1773910448754,0.193239943824456,0.0856332321922867,0.0702907427119393,0.173508253155209,0.198582220110872,0.0872454465319561,0.0951120788452465,179.406458561278,36.4368398586093,0.818397037855553,0.529600563330201
"14","whole",5,6,0.270052432367544,0.40779616423331,0.56267563477403,0.228423221024569,0.345564608299594,0.224768680688651,0.265536690601744,0.110327140403637,0.135555544171706,0.223038811533726,0.268097041665635,0.109633296400718,0.133110473426422,0.179181189161706,0.186444252137052,0.0774986082008813,0.0526870197330841,0.169886545521593,0.197460187690188,0.0816109759190206,0.0887983284768266,179.802522850562,27.8851060829469,0.828978681189668,0.57459477240278
"15","whole",5,7,0.269425645152734,0.414944428537985,0.518348391257095,0.232612007546449,0.328188523734862,0.239403831412816,0.261825116472792,0.127999443698478,0.152214522847031,0.233474247774416,0.262292035139855,0.127291314047402,0.149404193483971,0.192145127152728,0.202259186926664,0.103396692902502,0.0936140851200859,0.181123677971232,0.203819438151385,0.0983532753369639,0.105815967732371,131.788437793338,24.1720290220532,0.692129040208575,0.518977347538849
"16","whole",5,8,0.267518814628178,0.442908978518174,0.524066419786586,0.251671174399644,0.342960970435818,0.236144856787936,0.256895842334161,0.128340812793241,0.152241110804501,0.229659748268216,0.253026117444526,0.128703402340219,0.150752694812006,0.164637902920867,0.174814011784452,0.0984551656926689,0.0878449708289813,0.160513522507576,0.183190614675743,0.0977417420769661,0.105124948404847,181.586099267854,21.6270060619108,0.83406553772345,0.513767678429214
"17","whole",10,1,0.310605419849583,0.471989576400338,0.655430235064765,0.286830106572473,0.441231192013033,0.276937015215016,0.313525581951785,0.15229547428492,0.189353258960288,0.272834012915692,0.306239854386158,0.150970926039602,0.183561687297779,0.230161324955679,0.200707798919196,0.116522898200445,0.0875749165750443,0.213738077447427,0.21902048836697,0.112673113406203,0.121513523050541,175.356178062122,28.804870983163,1.06052553745802,0.647360150028306
