"","X.2","X.1","X","species","speed","category","size","Body_mass_g","distance","avgduration"
"1028",1754,1754,1754,"peccary",0.0586607142857141,"LS","large",21133.69,0.73,1.55555555555556
"1029",1755,1755,1755,"ocelot",0.1845,"LF","large",11880,0.82,0.555555555555556
"1030",1756,1756,1756,"paca",0.26325,"LS","large",8172.55,1.17,0.555555555555556
"1031",1757,1757,1757,"brocket",0.696428571428571,"LF","large",20546.86,3.25,0.666666666666667
"1032",1758,1758,1758,"agouti",0.124897959183673,"SF","small",2309.12,0.68,0.777777777777778
"1033",1759,1759,1759,"agouti",0.208928571428571,"SF","small",2309.12,2.6,1.55555555555556
"1034",1760,1760,1760,"paca",0.4185,"LS","large",8172.55,1.86,0.555555555555556
"1035",1761,1761,1761,"brocket",0.265909090909091,"LF","large",20546.86,2.6,1.22222222222222
"1036",1762,1762,1762,"rat",0.0925961538461541,"SF","small",282.17,1.07,1.44444444444444
"1037",1763,1763,1763,"brocket",0.29,"LF","large",20546.86,4.64,2
"1038",1764,1764,1764,"agouti",0.124285714285714,"SF","small",2309.12,0.58,0.666666666666667
"1039",1765,1765,1765,"agouti",0.0761538461538464,"SF","small",2309.12,0.88,1.44444444444444
"1040",1766,1766,1766,"agouti",0.121875,"SF","small",2309.12,1.3,1.33333333333333
"1041",1767,1767,1767,"agouti",0.17775,"SF","small",2309.12,0.79,0.555555555555556
"1042",1768,1768,1768,"paca",0.131785714285714,"LS","large",8172.55,0.41,0.444444444444444
"1043",1769,1769,1769,"peccary",0.02,"LS","large",21133.69,0.1,0.555555555555556
"1044",1770,1770,1770,"coati",0.02,"SF","small",3775.5,0.1,0.555555555555556
"1045",1771,1771,1771,"rat",0.02,"SF","small",282.17,0.1,0.555555555555556
"1046",1772,1772,1772,"agouti",0.0285714285714286,"SF","small",2309.12,0.2,0.777777777777778
"1047",1773,1773,1773,"brocket",0.04,"LF","large",20546.86,0.2,0.555555555555556
"1048",1774,1774,1774,"peccary",0.0599999999999999,"LS","large",21133.69,0.3,0.555555555555556
"1049",1775,1775,1775,"rat",0.0599999999999999,"SF","small",282.17,0.3,0.555555555555556
"1050",1776,1776,1776,"coati",0.0428571428571428,"SF","small",3775.5,0.3,0.777777777777778
"1051",1777,1777,1777,"squirrel",0.0428571428571428,"SF","small",545.4,0.3,0.777777777777778
"1052",1778,1778,1778,"agouti",0.0599999999999999,"SF","small",2309.12,0.3,0.555555555555556
"1053",1779,1779,1779,"rat",0.0799999999999999,"SF","small",282.17,0.4,0.555555555555556
"1054",1780,1780,1780,"agouti",0.05,"SF","small",2309.12,0.4,0.888888888888889
"1055",1781,1781,1781,"paca",0.0799999999999999,"LS","large",8172.55,0.4,0.555555555555556
"1056",1782,1782,1782,"agouti",0.0799999999999999,"SF","small",2309.12,0.4,0.555555555555556
"1057",1783,1783,1783,"peccary",0.0799999999999999,"LS","large",21133.69,0.4,0.555555555555556
"1058",1784,1784,1784,"agouti",0.0799999999999999,"SF","small",2309.12,0.4,0.555555555555556
"1059",1785,1785,1785,"coati",0.05,"SF","small",3775.5,0.4,0.888888888888889
"1060",1786,1786,1786,"agouti",0.0999999999999999,"SF","small",2309.12,0.5,0.555555555555556
"1061",1787,1787,1787,"agouti",0.0625,"SF","small",2309.12,0.5,0.888888888888889
"1062",1788,1788,1788,"peccary",0.0999999999999999,"LS","large",21133.69,0.5,0.555555555555556
"1063",1789,1789,1789,"tamandua",0.0714285714285714,"LS","large",4800,0.5,0.777777777777778
"1064",1790,1790,1790,"brocket",0.0999999999999999,"LF","large",20546.86,0.5,0.555555555555556
"1065",1791,1791,1791,"rat",0.0999999999999999,"SF","small",282.17,0.5,0.555555555555556
"1066",1792,1792,1792,"agouti",0.0999999999999999,"SF","small",2309.12,0.5,0.555555555555556
"1067",1793,1793,1793,"peccary",0.0625,"LS","large",21133.69,0.5,0.888888888888889
"1068",1794,1794,1794,"tamandua",0.0714285714285714,"LS","large",4800,0.5,0.777777777777778
"1069",1795,1795,1795,"agouti",0.0999999999999999,"SF","small",2309.12,0.5,0.555555555555556
"1070",1796,1796,1796,"rat",0.0999999999999999,"SF","small",282.17,0.5,0.555555555555556
"1071",1797,1797,1797,"agouti",0.0999999999999999,"SF","small",2309.12,0.5,0.555555555555556
