"","species","angle","dist","Body_mass_g","angles_rad"
"257","peccary",-2,4.7,21133.69,0.0349065850398866
"258","paca",-3,0.52,8172.55,0.0523598775598299
"259","paca",-3,1.64,8172.55,0.0523598775598299
"260","squirrel",-3,1.6,545.4,0.0523598775598299
"261","agouti",-3,1.52,2309.12,0.0523598775598299
"262","agouti",-4,1.84,2309.12,0.0698131700797732
"263","agouti",-4,2.27,2309.12,0.0698131700797732
"264","coati",-4,2.14,3775.5,0.0698131700797732
"265","agouti",-4,4.6,2309.12,0.0698131700797732
"266","agouti",-5,0.35,2309.12,0.0872664625997165
"267","agouti",-5,2.1,2309.12,0.0872664625997165
"268","agouti",-5,1.9,2309.12,0.0872664625997165
"269","coati",-5,0.89,3775.5,0.0872664625997165
"270","agouti",-5,1.43,2309.12,0.0872664625997165
"271","paca",-5,0.6,8172.55,0.0872664625997165
"272","agouti",-5,1.92,2309.12,0.0872664625997165
"273","agouti",-6,2.3,2309.12,0.10471975511966
"274","paca",-6,1.66,8172.55,0.10471975511966
"275","agouti",-6,0.84,2309.12,0.10471975511966
"276","agouti",-6,1.68,2309.12,0.10471975511966
"277","agouti",-6,1.65,2309.12,0.10471975511966
"278","agouti",-6,4.12,2309.12,0.10471975511966
"279","squirrel",-7,2.44,545.4,0.122173047639603
"280","armadillo",-8,0.95,3949.01,0.139626340159546
"281","tamandua",-8,1.31,4800,0.139626340159546
"282","agouti",-8,2.01,2309.12,0.139626340159546
"283","agouti",-9,3.4,2309.12,0.15707963267949
"284","paca",-10,0.85,8172.55,0.174532925199433
"285","agouti",-10,2.01,2309.12,0.174532925199433
"286","agouti",-10,0.94,2309.12,0.174532925199433
"287","rat",-11,0.52,282.17,0.191986217719376
"288","agouti",-11,2.3,2309.12,0.191986217719376
"289","agouti",-11,1.98,2309.12,0.191986217719376
"290","mouse",-12,1.26,19.3,0.20943951023932
"291","agouti",-14,1.11,2309.12,0.244346095279206
"292","rat",-15,1.56,282.17,0.261799387799149
"293","armadillo",-15,3.6,3949.01,0.261799387799149
"294","agouti",-15,2.63,2309.12,0.261799387799149
"295","agouti",-16,1.52,2309.12,0.279252680319093
"296","agouti",-17,2.36,2309.12,0.296705972839036
"297","agouti",-18,2.12,2309.12,0.314159265358979
"298","paca",-18,1.84,8172.55,0.314159265358979
"299","agouti",-18,0.96,2309.12,0.314159265358979
"300","agouti",-19,1.58,2309.12,0.331612557878923
"301","agouti",-21,1.84,2309.12,0.366519142918809
"302","squirrel",-21,0.73,545.4,0.366519142918809
"303","agouti",-21,3.2,2309.12,0.366519142918809
"304","agouti",-22,1.88,2309.12,0.383972435438752
"305","peccary",-22,2.73,21133.69,0.383972435438752
"306","agouti",-23,1.3,2309.12,0.401425727958696
"307","peccary",-23,0.65,21133.69,0.401425727958696
"309","opossum",-24,1.51,1134.75,0.418879020478639
"310","agouti",-25,1.23,2309.12,0.436332312998582
