"","species","angle","dist","Body_mass_g","angles_rad"
"739","agouti",-18,1.4,2309.12,0.314159265358979
"740","agouti",-19,1.64,2309.12,0.331612557878923
"741","agouti",-22,1.69,2309.12,0.383972435438752
"742","brocket",-24,3.5,20546.86,0.418879020478639
"743","peccary",-24,0.5,21133.69,0.418879020478639
"744","armadillo",-24,4.68,3949.01,0.418879020478639
"745","rat",-28,1.26,282.17,0.488692190558412
"746","agouti",-28,4.15,2309.12,0.488692190558412
"747","agouti",-30,2.43,2309.12,0.523598775598299
"748","peccary",-32,1.48,21133.69,0.558505360638185
"749","agouti",-38,2.3,2309.12,0.663225115757845
"777","paca",34,3.42,8172.55,0.593411945678072
"778","ocelot",34,3.6,11880,0.593411945678072
"779","agouti",33,2.02,2309.12,0.575958653158129
"780","rat",32,0.54,282.17,0.558505360638185
