"X.2","X.1","X","id","camid","image_name","x","y","frame_number","sequence_id","number_of_points","DateTimeOriginal","species","label","note","height","position","siteid","imgid","ImageWidth","ImageHeight","deployment","radius","angle","frame_count","deg","pixdiff","dist","timediff","time","speed","frames"
890,968,2478,2478,"CAM_50064","MathuAkru-2015-07-18_12-35-30-CAM50064.jpg",739.5555556,1212.112616,300,34,10,"2015:07:18 12:35:30","takin","movement","",NA,NA,"MAK_22","MAK_22 300",2048,1536,"MAK_22",3.4272475954772,-0.140584587784029,5,-8.05549688002487,298.790334558674,0.510206110503074,9,9,0.0566895678336748,10
900,978,2488,2488,"CAM_50064","MathuAkru-2015-07-19_11-46-05-CAM50064.jpg",967.1111111,1287.205903,320,35,10,"2015:07:19 11:46:05","takin","movement","",NA,NA,"MAK_22","MAK_22 320",2048,1536,"MAK_22",3.59774545788618,-0.0281169175666907,15,-1.61109937657138,2185.41522622222,3.28656309973254,32245828,32245828,1.01922118412731e-07,20
910,988,2498,2498,"CAM_50064","MathuAkru-2015-07-29_12-43-58-CAM50064.jpg",11.37777778,1554.962963,366,36,10,"2015:07:29 12:43:58","takin","movement","",NA,NA,"MAK_22","MAK_22 366",2048,1536,"MAK_22",1.99292761756766,-0.500481132588246,25,-28.6775688973065,1594.60381893336,4.17156905661414,31378374,31378374,1.32944079786102e-07,20
920,998,2508,2508,"CAM_50064","MathuAkru-2015-07-29_12-44-13-CAM50064_1.jpg",905.744006,1211.432302,376,37,10,"2015:07:29 12:44:13","takin","movement","",NA,NA,"MAK_22","MAK_22 376",2048,1536,"MAK_22",3.76081501852646,-0.0584471607612127,7,-3.34902231161749,2679.04508052481,5.52187569116656,31378383,31378383,1.75977063291201e-07,20
930,1008,2518,2518,"CAM_50064","MathuAkru-2015-07-29_12-44-38-CAM50064.jpg",586.8062758,1033.232189,386,38,11,"2015:07:29 12:44:38","takin","movement","",NA,NA,"MAK_22","MAK_22 386",2048,1536,"MAK_22",3.78006763500728,-0.216079802957901,17,-12.3813727094877,1709.68991803338,3.33426157845796,31378360,31378360,1.06259905822292e-07,21
941,1019,2529,2529,"CAM_50064","MathuAkru-2015-07-30_09-42-17-CAM50064.jpg",804.4939329,1174.982292,396,39,10,"2015:07:30 09:42:17","takin","movement","",NA,NA,"MAK_22","MAK_22 396",2048,1536,"MAK_22",3.68746578797044,-0.108489269405281,1,-6.21643513692258,1153.53095279494,6.0823326093508,4864092,4864092,1.2504559143517e-06,12
951,1029,2539,2539,"CAM_50064","MathuAkru-2015-08-05_15-24-08-CAM50064.jpg",1115.022222,1407.810417,462,40,10,"2015:08:05 15:24:08","takin","movement","",NA,NA,"MAK_22","MAK_22 462",2048,1536,"MAK_22",3.45578562821545,0.0449870679880869,11,2.57775899571738,2658.42371893137,11.5379598378613,3198684,3198684,3.60709586750718e-06,13
961,1039,2549,2549,"CAM_50064","MathuAkru-2015-08-07_11-35-44-CAM50064.jpg",942.1846734,1242.921264,475,41,10,"2015:08:07 11:35:44","himalayan black bear","movement","",NA,NA,"MAK_22","MAK_22 475",2048,1536,"MAK_22",3.71446790256445,-0.0404366272251817,21,-2.31701874000291,2400.34531590109,7.72564851987458,2828015,2828015,2.73182727809951e-06,13
9095,9441,9127,9127,"H600HF09165368","IMG_0711.JPG",2040.332829,1393.650847,710,42,4,"2015:08:30 08:25:36","takin","movement","",NA,NA,"MAK_11","MAK_11 710",1920,1080,"MAK_11",1.70256281420721,0.425270512516661,7,24.3680003672047,2317.00106836631,3.22124836195657,3,3,1.07374945398552,4
9099,9445,9131,9131,"H600HF09165368","IMG_0708.JPG",257.7156675,1225.36017,707,43,2,"2015:08:25 12:42:47","takin","movement","",NA,NA,"MAK_11","MAK_11 707",1920,1080,"MAK_11",2.95211956432063,-0.276452598678454,11,-15.8407339042754,1603.83920388218,1.92023547942122,2,2,0.96011773971061,2
9118,9464,9150,9150,"H600HF09165368","IMG_0641.JPG",1660.296224,642.962972,640,46,3,"2015:08:23 12:00:26","takin","movement","",NA,NA,"MAK_11","MAK_11 640",1920,1080,"MAK_11",7.53417282545518,0.275669984378455,13,15.7958901048855,301.638791013506,2.8187275615241,2,2,1.40936378076205,3
9121,9467,9153,9153,"H600HF09165368","IMG_0631.JPG",1732.078166,1089.505498,630,47,2,"2015:08:23 10:49:26","takin","movement","",NA,NA,"MAK_11","MAK_11 630",1920,1080,"MAK_11",2.56525718311926,0.303926779362681,16,17.4150044574816,949.022761439722,2.05252987765849,1,1,2.05252987765849,2
991,1079,2579,2579,"CAM_50070","MathuAkru-2015-09-12_13-31-30-CAM50070.jpg",-240.8929365,1892.044253,613,48,10,"2016:07:25 16:37:27","takin","movement","",NA,NA,"MAK_09","MAK_09 613",2048,1536,"MAK_09",1.25834097078877,-0.619254766249937,19,-35.4832981061214,6556.74488146339,50.0260752761146,29602514,29602514,1.68992658110438e-06,19
1001,1089,2589,2589,"CAM_50070","MathuAkru-2015-08-06_16-00-47-CAM50070.jpg",474.0740741,1494.281481,520,49,10,"2016:07:25 16:37:09","himalayan black bear","movement","",NA,NA,"MAK_09","MAK_09 520",2048,1536,"MAK_09",1.91053904931386,-0.269227727399824,29,-15.4267487800099,2601.56427166444,19.2128789179484,29602432,29602432,6.4903042148525e-07,15
1011,1099,2599,2599,"CAM_50070","MathuAkru-2015-08-07_18-18-10-CAM50070.jpg",1330.724055,939.5682132,540,50,10,"2016:07:25 16:37:12","himalayan black bear","movement","",NA,NA,"MAK_09","MAK_09 540",2048,1536,"MAK_09",7.45749507133809,0.150163169942137,4,8.60434963768443,3203.55093619294,4467.18989722558,29602432,29602432,0.000150906178831036,22
1021,1109,2609,2609,"CAM_50070","MathuAkru-2015-09-12_13-32-17-CAM50070_1.jpg",1058.133333,1322.097801,643,51,10,"2016:07:25 16:37:31","takin","movement","",NA,NA,"MAK_09","MAK_09 643",2048,1536,"MAK_09",2.33936652519894,0.0167106863658624,14,0.957522328763917,6274.71364742234,22.9275322072094,29602357,29602357,7.74517117242029e-07,19
1031,1119,2619,2619,"CAM_50070","MathuAkru-2015-09-12_13-32-54-CAM50070.jpg",1008.82964,1366.850255,663,52,10,"2016:07:25 16:37:34","takin","movement","",NA,NA,"MAK_09","MAK_09 663",2048,1536,"MAK_09",2.17190482392123,-0.00742696671365859,24,-0.425565192692637,3540.25979214468,52.9242443699653,30542049,30542049,1.73283214790092e-06,18
1041,1129,2629,2629,"CAM_50070","MathuAkru-2015-09-12_13-33-26-CAM50070_1.jpg",595.437037,1581.511111,673,53,3,"2016:07:25 16:37:37","takin young","movement","",NA,NA,"MAK_09","MAK_09 673",2048,1536,"MAK_09",1.6537838866563,-0.209811953105128,8,-12.0222249129238,4512.45696062589,59.7393155980199,30702207,30702207,1.94576616586618e-06,23
1044,1132,2632,2632,"CAM_50070","MathuAkru-2015-09-12_13-33-43-CAM50070.jpg",1369.611875,928.0829705,683,54,10,"2016:07:25 16:37:38","takin young","movement","",NA,NA,"MAK_09","MAK_09 683",2048,1536,"MAK_09",7.83160290702566,0.16920151476103,11,9.69524679580702,3580.6767681501,136.301859753806,30702938,30702938,4.43937514233348e-06,26
1054,1142,2642,2642,"CAM_50070","MathuAkru-2015-09-12_13-34-30-CAM50070.jpg",1804.226695,885.3480081,703,55,10,"2016:07:25 16:37:41","takin","movement","edge of image",NA,NA,"MAK_09","MAK_09 703",2048,1536,"MAK_09",7.90245635314476,0.381976280910464,21,21.8872408961696,2073.07609473171,52.4526550966948,30870161,30870161,1.6991377238588e-06,17
1064,1152,2652,2652,"CAM_50070","MathuAkru-2015-09-12_13-37-46-CAM50070.jpg",1387.916036,924.3943043,743,56,10,"2016:07:25 16:37:49","takin","movement","",NA,NA,"MAK_09","MAK_09 743",2048,1536,"MAK_09",7.93111881802059,0.178162699233149,3,10.2087226660594,2077.53233902901,65.9769834306321,30885585,30885585,2.13617399283944e-06,20
1074,1162,2662,2662,"CAM_50070","MathuAkru-2015-09-12_13-35-57-CAM50070_2.jpg",270.8607394,1389.196219,737,57,6,"2016:07:25 16:37:48","takin","movement","",NA,NA,"MAK_09","MAK_09 737",2048,1536,"MAK_09",2.37498299481409,-0.368715061424096,13,-21.1273730196007,7462.40773102756,452.666489223984,32607993,32607993,1.38820714670782e-05,24
1080,1168,2668,2668,"CAM_50070","MathuAkru-2015-09-12_13-35-54-CAM50070_1.jpg",109.9851852,1723.353998,733,58,10,"2016:07:25 16:37:47","takin","movement","",NA,NA,"MAK_09","MAK_09 733",2048,1536,"MAK_09",1.46332318913594,-0.447475050381826,19,-25.6403203868786,5819.65628104283,11.7965945974022,32443128,32443128,3.63608422634286e-07,18
1090,1178,2678,2678,"CAM_50070","MathuAkru-2015-09-12_13-32-54-CAM50070.jpg",1978.925695,916.428595,663,59,10,"2016:07:25 16:37:34","takin","movement","",NA,NA,"MAK_09","MAK_09 663",2048,1536,"MAK_09",6.03191523793728,0.46750382659227,29,26.7879692637371,5888.35289434561,29.1798071056928,32313162,32313162,9.03031622398725e-07,20
1100,1188,2688,2688,"CAM_50070","MathuAkru-2015-09-12_13-32-54-CAM50070.jpg",1567.457204,899.518931,663,60,10,"2016:07:25 16:37:34","takin","movement","",NA,NA,"MAK_09","MAK_09 663",2048,1536,"MAK_09",8.35619703939485,0.266060829433578,7,15.245285526544,6495.45379635481,19.9915941196948,32177393,32177393,6.21293158202555e-07,39
1161,1277,2749,2749,"CAM_50090","MathuAkru-2015-07-23_16-33-16-CAM50090_1.jpg",1863.216435,1396.516898,401,61,10,"2015:07:23 16:33:16","takin","movement","",NA,NA,"MAK_18","MAK_18 401",2048,1536,"MAK_18",1.67237517751724,0.410855940683032,14,23.5420454011377,3594.52342332419,24.1453851720958,405621,405621,5.95269603203379e-05,20
1111,1199,2699,2699,"CAM_50070","MathuAkru-2015-09-12_13-32-19-CAM50070.jpg",544.1613799,1126.548354,645,62,8,"2016:07:25 16:37:31","takin","movement","",NA,NA,"MAK_09","MAK_09 645",2048,1536,"MAK_09",4.41765080632517,-0.234915022412822,18,-13.4606307842547,5670.89795760658,26.0460937109355,31924242,31924242,8.15871954326604e-07,30
1119,1207,2707,2707,"CAM_50070","MathuAkru-2015-09-12_13-35-03-CAM50070_1.jpg",-330.5370923,1967.041292,713,63,10,"2016:07:25 16:37:42","takin","movement","",NA,NA,"MAK_09","MAK_09 713",2048,1536,"MAK_09",1.17732738342668,-0.663141935783199,26,-37.9980329203773,5534.91001727505,26.2141677332268,31958960,31958960,8.2024470549814e-07,40
1188,1304,2776,2776,"CAM_50090","MathuAkru-2015-07-23_07-55-20-CAM50090.jpg",807.9441667,1054.578937,371,64,10,"2015:07:23 07:55:20","takin","movement","",NA,NA,"MAK_18","MAK_18 371",2048,1536,"MAK_18",5.56391981777849,-0.10577464755028,41,-6.06088730463107,4121.37986972571,20.434888495855,508864,508864,4.01578584766362e-05,18
1198,1314,2786,2786,"CAM_50090","MathuAkru-2015-07-23_07-55-20-CAM50090.jpg",1386.610188,1018.031535,371,65,10,"2015:07:23 07:55:20","takin","movement","",NA,NA,"MAK_18","MAK_18 371",2048,1536,"MAK_18",7.81261363982711,0.177523394059831,5,10.1720904796283,2602.43986912865,20.7937619759533,601796,601796,3.45528417868402e-05,19
1228,1344,2816,2816,"CAM_50090","MathuAkru-2015-07-22_09-19-02-CAM50090.jpg",794.5482639,1072.882292,358,68,10,"2015:07:22 09:19:02","takin","movement","",NA,NA,"MAK_18","MAK_18 358",2048,1536,"MAK_18",4.93031805031161,-0.11233289166545,7,-6.43667469243029,5056.99368571248,16.7143689057461,605032,605032,2.76255948540674e-05,20
1238,1354,2826,2826,"CAM_50090","MathuAkru-2015-07-21_17-07-46-CAM50090.jpg",234.9299769,1059.397569,342,69,6,"2015:07:21 17:07:46","takin","movement","",NA,NA,"MAK_18","MAK_18 342",2048,1536,"MAK_18",5.21919788736532,-0.386305716957905,17,-22.135317581688,6876.03093362675,39.5387953786684,1890780,1890780,2.09113674666902e-05,22
1244,1360,2832,2832,"CAM_50090","MathuAkru-2015-07-21_16-54-06-CAM50090.jpg",990.0774306,1143.677431,332,70,10,"2015:07:21 16:54:06","takin","movement","",NA,NA,"MAK_18","MAK_18 332",2048,1536,"MAK_18",3.45245171909348,-0.0166075026417023,23,-0.95160990136954,6771.90199275108,37.7944932571815,2801753,2801753,1.34895878605935e-05,32
