"","X","species","speed","category","size","Body_mass_g"
"270",270,"himalayan black bear",0.228481703760953,"LS","large",99714.19
"271",271,"himalayan black bear",0.0432478807000487,"LS","large",99714.19
"272",272,"takin",1.67233193488008e-06,"LS","large",294515.33
"273",273,"takin",2.08485605533954e-06,"LS","large",294515.33
"274",274,"takin",0.120060704933359,"LS","large",294515.33
"275",275,"himalayan black bear",0.132072381562121,"LS","large",99714.19
"276",276,"himalayan black bear",0.0720262113889732,"LS","large",99714.19
"277",277,"himalayan black bear",0.064416744919161,"LS","large",99714.19
"278",278,"himalayan black bear",1.85324155070364e-06,"LS","large",99714.19
"279",279,"takin",1.04895090907289e-05,"LS","large",294515.33
"280",280,"himalayan black bear",1.29711557344326e-05,"LS","large",99714.19
"281",281,"himalayan black bear",1.07935476323005e-05,"LS","large",99714.19
"282",282,"takin",0.0566895678336748,"LS","large",294515.33
"283",283,"takin",1.01922118412731e-07,"LS","large",294515.33
"284",284,"takin",1.32944079786102e-07,"LS","large",294515.33
"285",285,"takin",1.75977063291201e-07,"LS","large",294515.33
"286",286,"takin",1.06259905822292e-07,"LS","large",294515.33
"287",287,"takin",1.2504559143517e-06,"LS","large",294515.33
"288",288,"takin",3.60709586750718e-06,"LS","large",294515.33
"289",289,"himalayan black bear",2.73182727809951e-06,"LS","large",99714.19
"290",290,"takin",1.07374945398552,"LS","large",294515.33
"291",291,"takin",0.96011773971061,"LS","large",294515.33
"292",292,"takin",1.40936378076205,"LS","large",294515.33
"293",293,"takin",2.05252987765849,"LS","large",294515.33
"294",294,"takin",1.68992658110438e-06,"LS","large",294515.33
"295",295,"himalayan black bear",6.4903042148525e-07,"LS","large",99714.19
"296",296,"himalayan black bear",0.000150906178831036,"LS","large",99714.19
"297",297,"takin",7.74517117242029e-07,"LS","large",294515.33
"298",298,"takin",1.73283214790092e-06,"LS","large",294515.33
"299",299,"takin young",1.94576616586618e-06,"LS","large",1e+05
"300",300,"takin young",4.43937514233348e-06,"LS","large",1e+05
"301",301,"takin",1.6991377238588e-06,"LS","large",294515.33
"302",302,"takin",2.13617399283944e-06,"LS","large",294515.33
"303",303,"takin",1.38820714670782e-05,"LS","large",294515.33
"304",304,"takin",3.63608422634286e-07,"LS","large",294515.33
"305",305,"takin",9.03031622398725e-07,"LS","large",294515.33
"306",306,"takin",6.21293158202555e-07,"LS","large",294515.33
"307",307,"takin",5.95269603203379e-05,"LS","large",294515.33
"308",308,"takin",8.15871954326604e-07,"LS","large",294515.33
"309",309,"takin",8.2024470549814e-07,"LS","large",294515.33
"310",310,"takin",4.01578584766362e-05,"LS","large",294515.33
"311",311,"takin",3.45528417868402e-05,"LS","large",294515.33
"312",312,"takin",2.76255948540674e-05,"LS","large",294515.33
"313",313,"takin",2.09113674666902e-05,"LS","large",294515.33
"314",314,"takin",1.34895878605935e-05,"LS","large",294515.33
"315",315,"takin",1.88577794367939e-05,"LS","large",294515.33
"316",316,"takin",1.97318939097534e-05,"LS","large",294515.33
"317",317,"takin",1.47805231067525e-05,"LS","large",294515.33
"318",318,"takin",1.04313031211389e-05,"LS","large",294515.33
"319",319,"takin",6.65486091462509e-06,"LS","large",294515.33
"320",320,"takin",1.57671358260145e-06,"LS","large",294515.33
"321",321,"takin",1.80962656439507e-06,"LS","large",294515.33
"322",322,"himalayan black bear",2.35895669234693e-06,"LS","large",99714.19
"323",323,"takin",0.880636031037544,"LS","large",294515.33
"324",324,"takin",0.222456436893993,"LS","large",294515.33
"325",325,"takin",0.582166318821138,"LS","large",294515.33
"326",326,"takin",0.20982063269072,"LS","large",294515.33
"327",327,"takin young",0.297476126185146,"LS","large",1e+05
"328",328,"takin",0.633708922261155,"LS","large",294515.33
"329",329,"takin",2.25611206120055e-06,"LS","large",294515.33
"330",330,"takin",1.53791462902836e-06,"LS","large",294515.33
"331",331,"takin",4.24942402656393e-06,"LS","large",294515.33
"332",332,"takin",6.38245436692263e-06,"LS","large",294515.33
"333",333,"takin",0.000148257304381257,"LS","large",294515.33
"334",334,"takin",8.73968450204232e-05,"LS","large",294515.33
"335",335,"takin",1.07131448017651e-05,"LS","large",294515.33
"336",336,"takin",5.24102746002355e-06,"LS","large",294515.33
"337",337,"takin",0.0477379553891037,"LS","large",294515.33
"338",338,"himalayan black bear",0.235635106833252,"LS","large",99714.19
"339",339,"takin",0.217106911208022,"LS","large",294515.33
"340",340,"takin",0.130411859573312,"LS","large",294515.33
"341",341,"takin",0.179415222812778,"LS","large",294515.33
"342",342,"takin",0.346529923892271,"LS","large",294515.33
"343",343,"takin",0.0233308582663489,"LS","large",294515.33
"344",344,"takin",0.0078490961542621,"LS","large",294515.33
"345",345,"takin",0.0126303119836882,"LS","large",294515.33
"346",346,"takin",0.00349848719056312,"LS","large",294515.33
"347",347,"takin",0.0270956116544991,"LS","large",294515.33
"348",348,"takin",0,"LS","large",294515.33
"349",349,"takin",0.177675011838442,"LS","large",294515.33
"350",350,"takin",0.189980287896679,"LS","large",294515.33
"351",351,"takin",0.0992521973733564,"LS","large",294515.33
"352",352,"takin",0.128674323588335,"LS","large",294515.33
"353",353,"takin",0.172497844423078,"LS","large",294515.33
"354",354,"takin",0,"LS","large",294515.33
"355",355,"takin",0,"LS","large",294515.33
"356",356,"takin",0,"LS","large",294515.33
"357",357,"takin",0.00341036069788542,"LS","large",294515.33
"358",358,"takin",0.00349307073924532,"LS","large",294515.33
"359",359,"takin",0.024383499780676,"LS","large",294515.33
"360",360,"takin",0.0145764723231796,"LS","large",294515.33
"361",361,"takin young",0.146558975797072,"LS","large",1e+05
"362",362,"takin",0.0182526713095,"LS","large",294515.33
"363",363,"takin",0.127024260206621,"LS","large",294515.33
"364",364,"takin",0.145731605086379,"LS","large",294515.33
"365",365,"takin",0.0375636655907703,"LS","large",294515.33
"366",366,"takin",0.092498227958449,"LS","large",294515.33
"367",367,"takin",0.129240163090107,"LS","large",294515.33
"368",368,"takin",0.090918894256121,"LS","large",294515.33
"369",369,"takin",0.0114540846626183,"LS","large",294515.33
"370",370,"takin",0.162756811186338,"LS","large",294515.33
"371",371,"takin",0.0110300441271695,"LS","large",294515.33
"372",372,"takin",0.0792811737269588,"LS","large",294515.33
"373",373,"takin",0.000480045549838752,"LS","large",294515.33
"374",374,"takin",0.00692231216431832,"LS","large",294515.33
"375",375,"takin",0.020159622327611,"LS","large",294515.33
"376",376,"takin",3.82634721506505e-06,"LS","large",294515.33
"377",377,"takin",6.29554965741559e-06,"LS","large",294515.33
"378",378,"takin",5.77472949322471e-06,"LS","large",294515.33
"379",379,"takin",7.29206968598033e-06,"LS","large",294515.33
"380",380,"takin",5.5463543668674e-06,"LS","large",294515.33
"381",381,"takin",5.26695626242971e-06,"LS","large",294515.33
"382",382,"takin",3.16911776728718e-06,"LS","large",294515.33
"383",383,"takin",4.34895793336667e-05,"LS","large",294515.33
"384",384,"takin",1.45178921854841e-05,"LS","large",294515.33
"385",385,"takin",2.44914324926691e-05,"LS","large",294515.33
"386",386,"takin",9.89642835122429e-06,"LS","large",294515.33
"387",387,"takin",2.83359484929288e-05,"LS","large",294515.33
"388",388,"takin",3.10642140747696e-05,"LS","large",294515.33
"389",389,"takin",6.71236916945315e-05,"LS","large",294515.33
"390",390,"takin",4.50216054269491e-05,"LS","large",294515.33
"391",391,"takin",3.06117810182476e-05,"LS","large",294515.33
"392",392,"takin",3.48777133543015e-05,"LS","large",294515.33
"393",393,"takin",2.13915379276935e-05,"LS","large",294515.33
"394",394,"takin",2.126657185359e-05,"LS","large",294515.33
"395",395,"takin",1.16579280569562e-05,"LS","large",294515.33
"396",396,"takin",2.95733404046504e-05,"LS","large",294515.33
"397",397,"takin",1.9725668609296e-05,"LS","large",294515.33
"398",398,"takin",0.000235783058360479,"LS","large",294515.33
"399",399,"takin",1.68207171399583e-05,"LS","large",294515.33
"400",400,"takin",1.29981423644675e-05,"LS","large",294515.33
"401",401,"takin young",2.34376025385966e-05,"LS","large",1e+05
"402",402,"takin young",0.10654097032578,"LS","large",1e+05
"403",403,"takin",0.123085078154669,"LS","large",294515.33
"404",404,"takin",0.0999957628725091,"LS","large",294515.33
"405",405,"takin",0.0461082367166754,"LS","large",294515.33
"406",406,"takin young",0.0135265143588393,"LS","large",1e+05
"407",407,"takin",0.109827437568705,"LS","large",294515.33
"408",408,"takin",0.0493544259806471,"LS","large",294515.33
"409",409,"takin",0.145274876628288,"LS","large",294515.33
"410",410,"takin",0.136514171441009,"LS","large",294515.33
"411",411,"takin",0.00206384829809928,"LS","large",294515.33
"412",412,"himalayan black bear",0.0996862242223371,"LS","large",99714.19
"413",413,"takin",0.0883521874217343,"LS","large",294515.33
"414",414,"takin",0.143661562444409,"LS","large",294515.33
"415",415,"takin",0.166609895163475,"LS","large",294515.33
"416",416,"takin",0.163341359850553,"LS","large",294515.33
"417",417,"takin",0.155734484773704,"LS","large",294515.33
"418",418,"takin",0.414165318040955,"LS","large",294515.33
"419",419,"takin",0.156773916852148,"LS","large",294515.33
"420",420,"takin",0.182776597717279,"LS","large",294515.33
"421",421,"takin",0.156739820525201,"LS","large",294515.33
"422",422,"takin young",0.15200426042003,"LS","large",1e+05
"423",423,"takin",0.126739650591828,"LS","large",294515.33
"424",424,"takin young",0.161127974249312,"LS","large",1e+05
"425",425,"takin young",0.130366028136727,"LS","large",1e+05
"426",426,"takin young",0.17408480869066,"LS","large",1e+05
"427",427,"takin young",0.132713467463442,"LS","large",1e+05
"428",428,"takin young",0.152958094299893,"LS","large",1e+05
"429",429,"takin",0.154039422046011,"LS","large",294515.33
"430",430,"takin",0.0121955738149073,"LS","large",294515.33
"431",431,"takin",0.126019116403419,"LS","large",294515.33
"432",432,"takin",0.127294506651611,"LS","large",294515.33
"433",433,"himalayan black bear",0.581843042347611,"LS","large",99714.19
"434",434,"takin",0.389394216804464,"LS","large",294515.33
"435",435,"takin",0.158485687754679,"LS","large",294515.33
"436",436,"takin",0.0717891015075926,"LS","large",294515.33
"437",437,"takin",0.132426395546803,"LS","large",294515.33
"438",438,"takin",0.145150867282702,"LS","large",294515.33
"439",439,"takin",0.0970443384345099,"LS","large",294515.33
"440",440,"takin",0.096531082900287,"LS","large",294515.33
"441",441,"takin young",0.00888585460111421,"LS","large",1e+05
"442",442,"takin young",0,"LS","large",1e+05
"443",443,"takin",0.0683954797832089,"LS","large",294515.33
"444",444,"takin young",0.186583127257104,"LS","large",1e+05
"445",445,"takin",0,"LS","large",294515.33
"446",446,"takin",0.00895401289355677,"LS","large",294515.33
"447",447,"takin",0.0330227807750337,"LS","large",294515.33
"448",448,"takin young",0.212682072106522,"LS","large",1e+05
"449",449,"takin young",0.148495347057262,"LS","large",1e+05
"450",450,"takin",0.085365620176865,"LS","large",294515.33
"451",451,"himalayan black bear",0.783342903599119,"LS","large",99714.19
"452",452,"takin",0.350465897975149,"LS","large",294515.33
"453",453,"takin",0.57161857048074,"LS","large",294515.33
"454",454,"takin",0.0829722435898628,"LS","large",294515.33
"455",455,"takin",2.29712430537903,"LS","large",294515.33
"456",456,"takin",0.171937948589682,"LS","large",294515.33
"457",457,"takin",0.439913117660233,"LS","large",294515.33
"458",458,"takin young",0.218129595479788,"LS","large",1e+05
"459",459,"takin",0.140289043187969,"LS","large",294515.33
"460",460,"takin",0.00942930693166498,"LS","large",294515.33
"461",461,"takin",0.0485707943349341,"LS","large",294515.33
"462",462,"takin",0.0336338462542357,"LS","large",294515.33
"463",463,"takin",0.0606914409117411,"LS","large",294515.33
"464",464,"takin",0.0373365172307211,"LS","large",294515.33
"465",465,"takin",0.0309550247197064,"LS","large",294515.33
"466",466,"takin",0.0261689765663102,"LS","large",294515.33
"467",467,"takin",0.0317768761734448,"LS","large",294515.33
"468",468,"takin",0.0933463566082872,"LS","large",294515.33
